iter	Passed	Remaining
420	907391	9869225
421	909979	9871772
422	911539	9863158
423	913921	9863454
424	916141	9861997
425	918723	9864414
426	920935	9862850
427	922471	9854059
428	924695	9852644
429	926849	9850468
430	928635	9844399
431	930192	9835928
432	932388	9834219
433	934622	9832912
434	937106	9834237
435	939085	9830240
436	941339	9829136
437	943319	9825163
438	945812	9826540
439	948022	9824963
440	950387	9824980
441	952776	9825237
442	954942	9823188
443	957554	9825717
444	959783	9824300
445	961778	9820488
446	964037	9819376
447	966208	9817370
448	968157	9813107
449	969894	9806707
450	972097	9805034
451	974576	9806139
452	976480	9801449
453	978846	9801398
454	981118	9800400
455	983394	9799442
456	985575	9797528
457	987602	9794083
458	990047	9794779
459	992128	9791874
460	994424	9791090
461	996758	9790672
462	999356	9792826
463	1001619	9791691
464	1003652	9788311
465	1005746	9785522
466	1007896	9783287
467	1009833	9778982
468	1012496	9781704
469	1014700	9779989
470	1017207	9781172
471	1019455	9779861
472	1021742	9778919
473	1023903	9776767
474	1026114	9775087
475	1028464	9774731
476	1030734	9773605
477	1032972	9772174
478	1034764	9766537
479	1037169	9766676
480	1039118	9762532
481	1040943	9757224
482	1043421	9758045
483	1045297	9753234
484	1047506	9751532
485	1049870	9751270
486	1052169	9750391
487	1054682	9751494
488	1056826	9749168
489	1059489	9751631
490	1061853	9751315
491	1064237	9751183
492	1066798	9752662
493	1069425	9754718
494	1071750	9754010
495	1073401	9747181
496	1075942	9748428
497	1078149	9746640
498	1080529	9746417
499	1082725	9744529
500	1084753	9741127
501	1086985	9739565
502	1089398	9739615
503	1091483	9736726
504	1093693	9734956
505	1095692	9731304
506	1097882	9729357
507	1100063	9727329
508	1102073	9723799
509	1104339	9722520
510	1106047	9716334
511	1108899	9720194
512	1111032	9717744
513	1113242	9715963
514	1115463	9714280
515	1117452	9710576
516	1118964	9702743
517	1121239	9701537
518	1123534	9700494
519	1125843	9699572
520	1127969	9697074
521	1129704	9691223
522	1132067	9690757
523	1134166	9688033
524	1135872	9681963
525	1137560	9675750
526	1139807	9674308
527	1142130	9673495
528	1144256	9671024
529	1146426	9668919
530	1148493	9665949
531	1150651	9663738
532	1152758	9661111
533	1154741	9657443
534	1156552	9652346
535	1158690	9649990
536	1161079	9649719
537	1162871	9644483
538	1165023	9642241
539	1167309	9641109
540	1169215	9636845
541	1171528	9635926
542	1173779	9634499
543	1175511	9628825
544	1177738	9627201
545	1179764	9623935
546	1182178	9623843
547	1184182	9620402
548	1186518	9619664
549	1188497	9616027
550	1190835	9615292
551	1193051	9613577
552	1195438	9613228
553	1197751	9612277
554	1199993	9610761
555	1202050	9607757
556	1204159	9605168
557	1206177	9601863
558	1208461	9600678
559	1210709	9599200
560	1212963	9597762
561	1214858	9593487
562	1217075	9591763
563	1219475	9591475
564	1221768	9590345
565	1223504	9584839
566	1225889	9584422
567	1227568	9578492
568	1229795	9576844
569	1232160	9576266
570	1234116	9572508
571	1235817	9566781
572	1237994	9564749
573	1240281	9563565
574	1241530	9554385
575	1243480	9550617
576	1244938	9543088
577	1247139	9541264
578	1249321	9539293
579	1251605	9538095
580	1253890	9536906
581	1256124	9535325
582	1258122	9531947
583	1259802	9526178
584	1262099	9525072
585	1264140	9522040
586	1266613	9522258
587	1269057	9522247
588	1271507	9522277
589	1273636	9519896
590	1275609	9516352
591	1278019	9516063
592	1279711	9510437
593	1281735	9507283
594	1283873	9504982
595	1285923	9502023
596	1288117	9500132
597	1290126	9496885
598	1292056	9493056
599	1294440	9492567
600	1296674	9490964
601	1298995	9490006
602	1300729	9484753
603	1303475	9486883
604	1305723	9485376
605	1308037	9484349
606	1310341	9483243
607	1312757	9482942
608	1314797	9479927
609	1316601	9475214
610	1318330	9469974
611	1320597	9468599
612	1322832	9466991
613	1325132	9465847
614	1327561	9465622
615	1330097	9466147
616	1332106	9462921
617	1334695	9463812
618	1337209	9464156
619	1339495	9462887
620	1341523	9459794
621	1343829	9458655
622	1345279	9451505
623	1347594	9450441
624	1349539	9446773
625	1351692	9444576
626	1354302	9445556
627	1356618	9444483
628	1358979	9443722
629	1360164	9434792
630	1362371	9432968
631	1363892	9426399
632	1366150	9424925
633	1368081	9421202
634	1370495	9420809
635	1372269	9416011
636	1373838	9409823
637	1375899	9407011
638	1377982	9404352
639	1380328	9403485
640	1382685	9402695
641	1384605	9398923
642	1386791	9396965
643	1389117	9395956
644	1391188	9393215
645	1393515	9392205
646	1395839	9391175
647	1398134	9389939
648	1400700	9390523
649	1402934	9388869
650	1404933	9385646
651	1407184	9384110
652	1408882	9378882
653	1411084	9377020
654	1412767	9371716
655	1414812	9368817
656	1416826	9365718
657	1418944	9363308
658	1421277	9362318
659	1423677	9361759
660	1425924	9360191
661	1427629	9355069
662	1429884	9353557
663	1431702	9349191
664	1434070	9348415
665	1435844	9343767
666	1437777	9340167
667	1440055	9338800
668	1442371	9337686
669	1444593	9335957
670	1446289	9330828
671	1448522	9329177
672	1450327	9324764
673	1452481	9322604
674	1454758	9321232
675	1457172	9320730
676	1459546	9319970
677	1462041	9319975
678	1464175	9317675
679	1466425	9316117
680	1468759	9315082
681	1471033	9313669
682	1473305	9312238
683	1475862	9312607
684	1478081	9310832
685	1480062	9307564
686	1482327	9306082
687	1484303	9302785
688	1486423	9300391
689	1488668	9298782
690	1490740	9296093
691	1493010	9294639
692	1494884	9290717
693	1497354	9290500
694	1499106	9285829
695	1501330	9284092
696	1503645	9282905
697	1505970	9281782
698	1508272	9280514
699	1511024	9282007
700	1513534	9282004
701	1515420	9278172
702	1517339	9274547
703	1519314	9271274
704	1522051	9272641
705	1524223	9270559
706	1526263	9267681
707	1528435	9265600
708	1531089	9266436
